names	in_Gavin	in_Krogan	unique_to_Gavin	unique_to_Krogan
DOP1	1	1	0	0
SAN1	0	1	0	1
TAF12	1	0	1	0
KGD2	1	1	0	0
NUM1	1	0	1	0
GIR2	0	1	0	1
ENT5	0	1	0	1
CPR1	1	1	0	0
RPA14	0	1	0	1
YDR157W	0	1	0	1
SAC3	0	1	0	1
ACL4	1	0	1	0
NBP2	0	1	0	1
SEC1	1	1	0	0
TRM82	0	1	0	1
SEC5	1	1	0	0
TAF10	1	0	1	0
CDC37	1	1	0	0
STB3	0	1	0	1
SEC7	1	0	1	0
HSP42	1	1	0	0
SUP35	1	1	0	0
ARG82	0	1	0	1
HMO1	1	1	0	0
RSM24	1	1	0	0
NGG1	1	1	0	0
CSN9	1	1	0	0
SCC2	0	1	0	1
SAS4	0	1	0	1
SND1	1	1	0	0
CCT6	1	1	0	0
SLY1	0	1	0	1
RVB1	1	1	0	0
NUP42	0	1	0	1
REF2	1	1	0	0
SPC19	0	1	0	1
RAV2	1	1	0	0
UME6	1	1	0	0
MSS4	0	1	0	1
GCD6	1	1	0	0
TCP1	0	1	0	1
UPC2	0	1	0	1
AHA1	1	1	0	0
GTB1	0	1	0	1
HTB1	1	1	0	0
HTA1	1	1	0	0
SIR4	0	1	0	1
PCF11	1	0	1	0
RTN1	1	0	1	0
LYS4	0	1	0	1
PRP42	1	1	0	0
MRPL7	1	1	0	0
SEC26	1	1	0	0
YDR239C	0	1	0	1
SNU56	1	1	0	0
PRP28	0	1	0	1
MNN10	1	0	1	0
TRS23	1	1	0	0
YDR248C	0	1	0	1
PAM1	0	1	0	1
BTT1	0	1	0	1
CHL4	0	1	0	1
RMD5	0	1	0	1
AKR1	1	1	0	0
HEL2	0	1	0	1
CCC2	0	1	0	1
GLO2	0	1	0	1
BSC2	0	1	0	1
RRP45	1	1	0	0
GCN2	1	1	0	0
NSE3	0	1	0	1
RTT103	0	1	0	1
HRQ1	0	1	0	1
SRP101	1	0	1	0
SSD1	0	1	0	1
HDA2	1	0	1	0
MHR1	1	0	1	0
BFR2	1	1	0	0
PRO1	1	1	0	0
CFT1	1	1	0	0
RSC3	1	1	0	0
CPR5	0	1	0	1
SRB7	1	1	0	0
SUM1	0	1	0	1
TFB1	1	1	0	0
SSF2	0	1	0	1
RAD34	1	1	0	0
MCM21	0	1	0	1
SWA2	0	1	0	1
TIM11	0	1	0	1
MRPL35	1	1	0	0
UTP4	1	1	0	0
YCG1	0	1	0	1
YSP2	0	1	0	1
SKP1	1	1	0	0
UBX5	0	1	0	1
IRC3	0	1	0	1
SWR1	0	1	0	1
MSN5	1	0	1	0
MRPS28	1	1	0	0
HXT7	0	1	0	1
SVF1	1	1	0	0
MRP1	1	1	0	0
PAL1	1	1	0	0
TRP4	0	1	0	1
CNL1	0	1	0	1
EAF1	1	0	1	0
BCP1	1	1	0	0
TFC6	0	1	0	1
SEM1	0	1	0	1
CDC40	1	0	1	0
ESF1	1	1	0	0
XRS2	0	1	0	1
PHO92	0	1	0	1
LSM6	1	1	0	0
RGA2	1	1	0	0
YRA1	1	1	0	0
RPP2B	1	0	1	0
NKP1	0	1	0	1
EFT2	0	1	0	1
RVS167	1	1	0	0
UBA2	1	0	1	0
SPT3	1	1	0	0
RPT3	1	1	0	0
SXM1	1	0	1	0
UTP5	0	1	0	1
URH1	0	1	0	1
RPB7	1	1	0	0
MRP20	1	1	0	0
PDR15	0	1	0	1
TRS120	1	1	0	0
ADE8	0	1	0	1
SIZ1	0	1	0	1
RRP17	0	1	0	1
YDR415C	0	1	0	1
SYF1	1	1	0	0
RAD30	0	1	0	1
SIP1	1	1	0	0
DYN2	0	1	0	1
SNX41	1	0	1	0
RPN9	1	1	0	0
TIF35	1	1	0	0
CYM1	1	0	1	0
NPL3	1	0	1	0
GPI17	1	0	1	0
PPZ2	0	1	0	1
LRS4	0	1	0	1
DOT1	0	1	0	1
SSN2	1	1	0	0
RPS17B	1	0	1	0
ADA2	1	1	0	0
UTP6	1	1	0	0
RPS18A	1	0	1	0
YHP1	0	1	0	1
PPN1	0	1	0	1
TSA2	0	1	0	1
GUK1	0	1	0	1
TOM1	1	1	0	0
TFB3	0	1	0	1
MRPL28	1	1	0	0
STP1	0	1	0	1
PKH3	0	1	0	1
SDC1	1	1	0	0
UGO1	0	1	0	1
TRS31	1	1	0	0
PRP3	1	1	0	0
SNF1	1	1	0	0
SNM1	0	1	0	1
DIG2	0	1	0	1
CWC21	0	1	0	1
VPS52	1	0	1	0
VPS72	0	1	0	1
VPS60	0	1	0	1
PAC11	0	1	0	1
SLD5	0	1	0	1
PKH1	0	1	0	1
RSM28	0	1	0	1
VPS3	0	1	0	1
PUF6	1	1	0	0
SEC20	0	1	0	1
LCD1	1	1	0	0
RPL37B	0	1	0	1
PLM2	0	1	0	1
SAM2	1	1	0	0
